location,lat,lon
Rom,41.89720975289751,12.49341969509891
Venedig,45.43786278003851,12.327417155303174
Wien,48.20670838151836,16.40443445137061
Paris,48.85998302336255,2.3432829983417705
Amsterdam,52.37309399052843,4.894689371366192
Barcelona,41.37158510192777,2.130913504532054
Madrid,40.414150113917394,-3.704257469562986
Marseille,43.30285977242466,5.4021242598722115
Lissabon,38.7215264392655,-9.138402659187252
Porto,41.156421931259146,-8.627085886027634
Zürich,47.37163718858693,8.538087931198962
Nizza,43.69884148490391,7.215394490333866
Prag,50.0811806853015,14.453258852414038
Budapest,47.485768531298206,19.089785235106003
Warschau,52.22612592300048,21.058442310053508
Mailand,45.475954752641684,9.184597228528693
Brüssel,50.852569949988684,4.370925402907302
